trials_3.thisTrialN,trials_3.stepSize,trials_3.intensity,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,corrAns,tilt,key_resp.corr,trials_3.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate
163,0.5,2,180.0502723,180.5497947,180.5497947,180.5497947,180.8492575,left,-2,1,1,0.3172989,K,1,2023-09-06_21h58.59.794,Lab3,2023.1.3,60.2023763
164,0.5,2,180.8993582,181.399172,181.399172,181.399172,181.6986387,right,2,1,1,0.4400546,K,1,2023-09-06_21h58.59.794,Lab3,2023.1.3,60.2023763
165,0.5,1.5,181.8650737,182.3649983,182.3649983,182.3649983,182.6645651,right,1.5,0,0,0.5126488,K,1,2023-09-06_21h58.59.794,Lab3,2023.1.3,60.2023763
166,0.5,2,182.897714,183.3972557,183.3972557,183.3972557,183.6973509,right,2,1,1,0.6261221,K,1,2023-09-06_21h58.59.794,Lab3,2023.1.3,60.2023763
167,0.5,2,184.0462752,184.5477167,184.5477167,184.5477167,184.8626141,left,-2,1,1,0.4005406,K,1,2023-09-06_21h58.59.794,Lab3,2023.1.3,60.2023763
168,0.5,1.5,184.979038,185.4785787,185.4785787,185.4785787,185.777866,right,1.5,1,1,0.5605305,K,1,2023-09-06_21h58.59.794,Lab3,2023.1.3,60.2023763
169,0.5,1.5,186.0612243,186.5614857,186.5614857,186.5614857,186.8606035,right,1.5,1,1,0.4899687,K,1,2023-09-06_21h58.59.794,Lab3,2023.1.3,60.2023763
170,0.5,1,187.0771819,187.5769076,187.5769076,187.5769076,187.8772868,right,1,1,1,0.5266568,K,1,2023-09-06_21h58.59.794,Lab3,2023.1.3,60.2023763
171,0.5,1,188.1261347,188.6258073,188.6258073,188.6425844,188.9250718,left,-1,1,1,0.4984426,K,1,2023-09-06_21h58.59.794,Lab3,2023.1.3,60.2023763
172,0.5,0.5,189.1418544,189.6415883,189.6415883,189.6415883,189.9406115,left,-0.5,1,1,0.4565684,K,1,2023-09-06_21h58.59.794,Lab3,2023.1.3,60.2023763
173,0.5,0.5,190.1240874,190.624057,190.624057,190.624057,190.9227792,left,-0.5,0,0,0.4839552,K,1,2023-09-06_21h58.59.794,Lab3,2023.1.3,60.2023763
174,0.5,1,191.1397435,191.6395166,191.6395166,191.6395166,191.9390007,left,-1,1,1,0.4388689,K,1,2023-09-06_21h58.59.794,Lab3,2023.1.3,60.2023763
175,0.5,1,192.1054929,192.6052514,192.6052514,192.6052514,192.9045213,right,1,0,0,0.4502278,K,1,2023-09-06_21h58.59.794,Lab3,2023.1.3,60.2023763
176,0.5,1.5,193.087633,193.5875521,193.5875521,193.5875521,193.8867171,left,-1.5,0,0,0.5262236,K,1,2023-09-06_21h58.59.794,Lab3,2023.1.3,60.2023763
177,0.5,2,194.1363952,194.6362866,194.6362866,194.6362866,194.9360584,right,2,1,1,0.5024362,K,1,2023-09-06_21h58.59.794,Lab3,2023.1.3,60.2023763
178,0.5,2,195.1692226,195.6687583,195.6687583,195.6687583,195.9684517,right,2,1,1,0.528902,K,1,2023-09-06_21h58.59.794,Lab3,2023.1.3,60.2023763
179,0.5,1.5,196.2193655,196.7179888,196.7179888,196.7339182,197.0167681,left,-1.5,1,1,0.5221091,K,1,2023-09-06_21h58.59.794,Lab3,2023.1.3,60.2023763
180,0.5,1.5,197.2667682,197.7665153,197.7665153,197.7665153,198.0661441,right,1.5,0,0,0.3827946,K,1,2023-09-06_21h58.59.794,Lab3,2023.1.3,60.2023763
181,0.5,2,198.1658564,198.6659181,198.6659181,198.6659181,198.9658366,right,2,1,1,0.6184324,K,1,2023-09-06_21h58.59.794,Lab3,2023.1.3,60.2023763
182,0.5,2,199.3148542,199.8146051,199.8146051,199.8146051,,left,-2,1,1,0.2468198,K,1,2023-09-06_21h58.59.794,Lab3,2023.1.3,60.2023763
